00h01m38.7s, -15d23m04.0
00h01m39.1s, -15d20m20.0
00h01m38.6s, -15d23m05.0
00h02m06.1s, -15d37m56.0
00h01m42.2s, -15d40m12.0
00h00m37.5s, -15d30m13.0
00h03m16.6s, -15d29m45.0
00h03m24.0s, -15d32m09.0
00h01m39.0s, -15d20m21.0
00h01m54.6s, -15d23m42.0
00h02m01.2s, -15d24m24.0
00h02m02.1s, -15d30m05.0
