#Aegean version 2.3.0-(2022-08-17)
# on dataset: IC10_A+B_full.comb_spw.wt_nbcont.image.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0022,00)  0.000010  0.000024 00:19:05.58  +59:06:35.65   4.7732426  0.0000375  59.1099026  0.0000568  0.000215  0.000020  0.000604  0.000064  3.67  0.07  2.96  0.14   29.3   0.4   0000000
(0024,00) -0.000001  0.000025 00:20:06.76  +59:07:14.88   5.0281801  0.0001376  59.1207986  0.0001874  0.000122  0.000023  0.000499  0.000141  5.09  0.46  3.11  0.59   22.9   0.5   0000000
(0025,00) -0.000005  0.000026 00:20:18.26  +59:07:31.48   5.0760894  0.0000693  59.1254116  0.0000632  0.000171  0.000022  0.000565  0.000073  3.97  0.02  3.22  0.02  -87.6   0.8   0000000
(0026,00)  0.000006  0.000025 00:19:51.93  +59:07:32.49   4.9663681  0.0000515  59.1256908  0.0000511  0.000142  0.000023  0.000142  0.000023  2.16 -1.00  1.79 -1.00  -65.7  -1.0   0000100
(0027,00)  0.000002  0.000022 00:19:24.25  +59:07:40.32   4.8510431  0.0000615  59.1278677  0.0000652  0.000130  0.000024  0.000130  0.000024  2.16 -1.00  1.79 -1.00  -65.8  -1.0   0000100
(0028,00) -0.000004  0.000024 00:19:30.64  +59:07:46.83   4.8776558  0.0000438  59.1296738  0.0000367  0.000174  0.000023  0.000213  0.000029  2.44  0.07  1.93  0.05  -69.5   0.6   0000000
(0029,00)  0.000003  0.000026 00:17:51.14  +59:08:00.78   4.4630946  0.0001525  59.1335504  0.0002200  0.000216  0.000064  0.001770  0.000532  5.64  0.18  5.61  0.22   21.9  27.4   0000000
(0029,01)  0.000009  0.000025 00:17:48.27  +59:07:52.54   4.4511183  0.0001526  59.1312623  0.0002199  0.000096  0.000064  0.000119  0.000082  2.98  0.20  1.60  0.25  -65.2  45.4   0000000
(0029,02)  0.000004  0.000026 00:17:50.72  +59:08:00.35   4.4613274  0.0001525  59.1334306  0.0002200  0.000098  0.000064  0.000086  0.000058  1.97  0.21  1.72  0.26   25.7  24.4   0000000
(0029,03)  0.000008  0.000025 00:17:48.40  +59:07:54.21   4.4516641  0.0001526  59.1317248  0.0002199  0.000180  0.000064  0.000703  0.000258  5.53  0.18  2.73  0.23  -67.6  49.8   0000000
(0029,04)  0.000008  0.000025 00:17:47.94  +59:07:52.26   4.4497607  0.0001526  59.1311838  0.0002199  0.000169  0.000064  0.000970  0.000373  6.05  0.18  3.66  0.23  -67.2  42.3   0000000
(0029,05)  0.000007  0.000028 00:17:49.94  +59:07:55.67   4.4580863  0.0001526  59.1321311  0.0002200  0.000104  0.000064  0.000224  0.000142  4.42  0.19  1.89  0.24  -65.8  53.4   0000000
(0029,06)  0.000008  0.000027 00:17:49.33  +59:07:54.76   4.4555232  0.0001526  59.1318769  0.0002200  0.000139  0.000064  0.001670  0.000773 10.32  0.19  4.48  0.24  -66.0  53.3   0000000
(0029,07)  0.000006  0.000027 00:17:50.17  +59:07:56.60   4.4590602  0.0001525  59.1323879  0.0002200  0.000102  0.000064  0.000113  0.000075  2.94  0.22  1.46  0.28  -62.1  45.7   0000000
(0029,08)  0.000005  0.000027 00:17:50.29  +59:07:59.40   4.4595381  0.0001525  59.1331674  0.0002200  0.000117  0.000064  0.002566  0.001416 14.05  0.24  6.06  0.30  -59.4  46.1   0000000
(0030,00)  0.000003  0.000024 00:19:18.97  +59:08:20.34   4.8290325  0.0000228  59.1389842  0.0000246  0.000243  0.000024  0.000208  0.000021  1.86  0.03  1.78  0.04  -65.1   1.7   0000000
(0031,00) -0.000005  0.000023 00:22:39.17  +59:08:17.62   5.6632164  0.0000650  59.1382271  0.0000568  0.000123  0.000022  0.000123  0.000022  2.16 -1.00  1.79 -1.00  -65.1  -1.0   0000101
(0032,00) -0.000002  0.000023 00:19:07.61  +59:08:53.22   4.7817118  0.0000467  59.1481161  0.0000569  0.000178  0.000020  0.000501  0.000059  3.73  0.06  2.92  0.11   20.2   0.4   0000000
(0034,00)  0.000006  0.000024 00:18:48.95  +59:10:32.17   4.7039503  0.0000401  59.1756026  0.0000344  0.000237  0.000018  0.000857  0.000068  4.30  0.07  3.25  0.05  -68.2   0.3   0000000
(0035,00)  0.000005  0.000025 00:19:43.88  +59:10:34.97   4.9328325  0.0000314  59.1763795  0.0000380  0.000225  0.000024  0.000326  0.000038  2.50  0.06  2.24  0.09   33.0   0.8   0000000
(0036,00) -0.000002  0.000032 00:20:54.51  +59:10:51.13   5.2271164  0.0000062  59.1808691  0.0000059  0.001563  0.000027  0.003205  0.000057  2.95  0.01  2.69  0.01  -66.6   0.1   0000000
(0037,00) -0.000003  0.000031 00:21:19.35  +59:10:56.39   5.3306351  0.0000498  59.1823293  0.0000391  0.000203  0.000028  0.000203  0.000028  2.16 -1.00  1.79 -1.00  -65.4  -1.0   0000100
(0038,00)  0.000007  0.000028 00:22:04.98  +59:10:57.38   5.5207432  0.0000111  59.1826063  0.0000095  0.000851  0.000020  0.002860  0.000067  3.91  0.00  3.32  0.00  -85.8   0.1   0000000
(0039,00) -0.000010  0.000042 00:21:07.42  +59:11:20.27   5.2809350  0.0000581  59.1889639  0.0000460  0.000239  0.000038  0.000239  0.000038  2.16 -1.00  1.79 -1.00  -65.5  -1.0   0000100
(0041,00) -0.000013  0.000045 00:21:08.85  +59:11:33.27   5.2868933  0.0000014  59.1925741  0.0000012  0.009323  0.000042  0.011818  0.000055  2.44  0.00  2.01  0.00  -66.4   0.0   0000000
(0042,00) -0.000005  0.000022 00:18:12.47  +59:11:51.10   4.5519433  0.0001790  59.1975277  0.0001034  0.000140  0.000018  0.000636  0.000103  4.89  0.32  3.57  0.26  -66.9   1.1   0000000
(0042,01) -0.000004  0.000023 00:18:12.87  +59:11:51.97   4.5536045  0.0001790  59.1977691  0.0001034  0.000090  0.000018  0.000105  0.000030  2.96  0.33  1.52  0.26  -66.0   1.2   0000000
(0043,00) -0.000010  0.000031 00:21:21.30  +59:12:08.22   5.3387553  0.0000167  59.2022846  0.0000165  0.000589  0.000022  0.002091  0.000078  3.76  0.02  3.65  0.02  -75.2   0.9   0000000
(0044,00) -0.000003  0.000024 00:19:17.00  +59:12:31.51   4.8208421  0.0000427  59.2087528  0.0000410  0.000163  0.000022  0.000163  0.000022  2.16 -1.00  1.79 -1.00  -65.8  -1.0   0000100
(0045,00)  0.000001  0.000025 00:20:14.45  +59:12:34.13   5.0602283  0.0000689  59.2094818  0.0000538  0.000141  0.000024  0.000141  0.000024  2.16 -1.00  1.79 -1.00  -65.6  -1.0   0000101
(0046,00)  0.000002  0.000028 00:21:44.94  +59:12:37.72   5.4372503  0.0000067  59.2104789  0.0000070  0.001251  0.000021  0.003779  0.000066  3.55  0.01  3.28  0.02   39.3   0.1   0000000
(0047,00)  0.000009  0.000028 00:21:32.81  +59:13:15.89   5.3867148  0.0000364  59.2210809  0.0000354  0.000240  0.000026  0.000415  0.000046  2.67  0.05  2.50  0.05  -67.9   1.4   0000000
(0048,00)  0.000026  0.000030 00:21:10.20  +59:13:16.56   5.2925204  0.0000370  59.2212668  0.0000239  0.000265  0.000030  0.000258  0.000030  2.53  0.06  1.48  0.02  -67.0   0.2   0000000
(0049,00) -0.000001  0.000029 00:20:08.41  +59:13:30.35   5.0350483  0.0000495  59.2250976  0.0000223  0.000562  0.000050  0.001867  0.000171  4.03  0.06  3.19  0.04  -67.8   0.2   0000000
(0049,01) -0.000000  0.000029 00:20:08.94  +59:13:30.89   5.0372352  0.0000495  59.2252460  0.0000223  0.000453  0.000050  0.001774  0.000199  4.34  0.06  3.49  0.04  -68.9   0.2   0000000
(0049,02) -0.000004  0.000029 00:20:07.55  +59:13:29.95   5.0314728  0.0000495  59.2249871  0.0000223  0.000179  0.000050  0.003678  0.001033 12.00  0.05  6.62  0.03  -69.7   0.3   0000000
(0050,00)  0.000010  0.000024 00:18:19.73  +59:14:23.54   4.5822166  0.0000250  59.2398724  0.0000187  0.000559  0.000020  0.001511  0.000057  3.37  0.04  3.09  0.02   25.5   0.3   0000000
